,geohash,latitude,longitude,time,cloudCover,dewPoint,humidity,ozone,precipAccumulation,precipIntensity,precipProbability,pressure,uvIndex,visibility,windBearing,windGust,windSpeed,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureLowTime,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,moonPhase,precipIntensityMax,precipIntensityMaxTime,sunriseTime,sunsetTime,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,windGustTime
3,dpb2ur1r35px,43.7653,-89.4599,2020-01-23 00:00:00-06:00,0.99,30.03,0.96,390.6,0.7,0.0054,0.63,1020.3,1,1.878,144,23.62,8.01,27.66,2020-01-23 15:06:00-06:00,24.07,2020-01-23 20:00:00-06:00,27.66,2020-01-23 15:06:00-06:00,18.79,2020-01-23 00:00:00-06:00,0.97,0.0095,2020-01-23 00:00:00-06:00,2020-01-23 07:25:00-06:00,2020-01-23 16:57:00-06:00,34.14,2020-01-23 15:42:00-06:00,30.84,2020-01-23 23:52:00-06:00,34.14,2020-01-23 15:42:00-06:00,28.02,2020-01-23 00:00:00-06:00,2020-01-23 00:00:00-06:00
4,dpb2ur1r35px,43.7653,-89.4599,2020-01-24 00:00:00-06:00,1.0,32.88,0.95,420.9,0.0,0.0058,0.74,1021.1,1,0.079,62,21.23,10.73,29.09,2020-01-24 11:59:00-06:00,12.4,2020-01-25 07:07:00-06:00,29.09,2020-01-24 11:59:00-06:00,24.53,2020-01-24 17:55:00-06:00,0.01,0.024,2020-01-25 00:00:00-06:00,2020-01-24 07:24:00-06:00,2020-01-24 16:58:00-06:00,37.82,2020-01-24 12:00:00-06:00,22.67,2020-01-25 07:06:00-06:00,37.82,2020-01-24 12:00:00-06:00,30.87,2020-01-24 00:00:00-06:00,2020-01-24 10:49:00-06:00
5,dpb2ur1r35px,43.7653,-89.4599,2020-01-25 00:00:00-06:00,1.0,30.14,0.97,393.3,0.49,0.0025,0.41,1020.7,1,3.543,14,17.79,8.36,28.36,2020-01-25 18:01:00-06:00,20.85,2020-01-26 07:05:00-06:00,28.36,2020-01-25 18:01:00-06:00,12.4,2020-01-25 07:07:00-06:00,0.04,0.024,2020-01-25 00:00:00-06:00,2020-01-25 07:23:00-06:00,2020-01-25 17:00:00-06:00,35.42,2020-01-25 12:07:00-06:00,25.95,2020-01-26 06:00:00-06:00,35.42,2020-01-25 12:07:00-06:00,22.67,2020-01-25 07:06:00-06:00,2020-01-25 06:17:00-06:00
6,dpb2ur1r35px,43.7653,-89.4599,2020-01-26 00:00:00-06:00,0.97,28.55,0.97,365.1,0.06,0.0003,0.17,1020.0,1,6.912,254,16.41,5.53,27.41,2020-01-26 15:01:00-06:00,18.65,2020-01-26 23:23:00-06:00,27.41,2020-01-26 15:01:00-06:00,18.65,2020-01-26 23:23:00-06:00,0.07,0.0006,2020-01-26 06:13:00-06:00,2020-01-26 07:22:00-06:00,2020-01-26 17:01:00-06:00,33.95,2020-01-26 15:01:00-06:00,24.6,2020-01-27 00:00:00-06:00,33.95,2020-01-26 15:01:00-06:00,24.6,2020-01-27 00:00:00-06:00,2020-01-26 23:43:00-06:00
7,dpb2ur1r35px,43.7653,-89.4599,2020-01-27 00:00:00-06:00,1.0,29.86,0.99,352.1,0.03,0.0002,0.13,1017.8,1,6.563,239,16.32,4.75,29.46,2020-01-27 16:33:00-06:00,25.43,2020-01-28 01:17:00-06:00,29.46,2020-01-27 16:33:00-06:00,18.75,2020-01-27 00:00:00-06:00,0.1,0.0008,2020-01-27 21:00:00-06:00,2020-01-27 07:21:00-06:00,2020-01-27 17:02:00-06:00,33.33,2020-01-27 15:03:00-06:00,29.12,2020-01-28 07:16:00-06:00,33.33,2020-01-27 15:03:00-06:00,24.6,2020-01-27 00:00:00-06:00,2020-01-27 00:00:00-06:00
0,9zxumj9x1fbt,42.966,-90.1297,2020-01-20 00:00:00-06:00,0.55,8.41,0.84,373.5,0.33,0.0006,0.12,1038.2,1,7.257,307,8.89,3.4,17.78,2020-01-20 14:59:00-06:00,-8.14,2020-01-21 06:48:00-06:00,17.78,2020-01-20 14:59:00-06:00,-2.93,2020-01-20 01:38:00-06:00,0.88,0.0035,2020-01-20 08:00:00-06:00,2020-01-20 07:27:00-06:00,2020-01-20 16:58:00-06:00,23.06,2020-01-20 14:55:00-06:00,3.02,2020-01-21 05:56:00-06:00,23.06,2020-01-20 14:55:00-06:00,4.95,2020-01-20 01:55:00-06:00,2020-01-20 00:00:00-06:00
1,9zxumj9x1fbt,42.966,-90.1297,2020-01-21 00:00:00-06:00,0.57,7.66,0.81,341.4,0.05,0.0001,0.05,1034.3,2,8.728,210,40.52,10.77,8.33,2020-01-21 14:55:00-06:00,0.92,2020-01-21 19:51:00-06:00,8.33,2020-01-21 14:55:00-06:00,-8.14,2020-01-21 06:48:00-06:00,0.91,0.001,2020-01-21 03:00:00-06:00,2020-01-21 07:27:00-06:00,2020-01-21 16:59:00-06:00,21.74,2020-01-21 14:58:00-06:00,15.35,2020-01-21 19:13:00-06:00,21.74,2020-01-21 14:58:00-06:00,3.02,2020-01-21 05:56:00-06:00,2020-01-22 00:00:00-06:00
2,9zxumj9x1fbt,42.966,-90.1297,2020-01-22 00:00:00-06:00,0.97,22.65,0.88,342.2,0.79,0.0038,0.44,1022.1,1,8.208,190,40.54,16.11,19.99,2020-01-22 15:36:00-06:00,17.46,2020-01-22 20:32:00-06:00,19.99,2020-01-22 15:36:00-06:00,3.29,2020-01-22 00:00:00-06:00,0.94,0.0104,2020-01-22 20:36:00-06:00,2020-01-22 07:26:00-06:00,2020-01-22 17:00:00-06:00,31.27,2020-01-22 15:35:00-06:00,28.26,2020-01-22 21:01:00-06:00,31.27,2020-01-22 15:35:00-06:00,18.15,2020-01-22 00:00:00-06:00,2020-01-22 00:28:00-06:00
3,9zxumj9x1fbt,42.966,-90.1297,2020-01-23 00:00:00-06:00,1.0,30.16,0.96,390.1,0.8,0.0058,0.62,1019.7,1,0.588,149,25.38,9.12,27.37,2020-01-23 15:11:00-06:00,22.55,2020-01-23 22:43:00-06:00,27.37,2020-01-23 15:11:00-06:00,18.64,2020-01-23 00:00:00-06:00,0.97,0.0091,2020-01-23 15:37:00-06:00,2020-01-23 07:25:00-06:00,2020-01-23 17:02:00-06:00,34.39,2020-01-23 15:45:00-06:00,30.07,2020-01-24 00:20:00-06:00,34.39,2020-01-23 15:45:00-06:00,28.51,2020-01-23 00:00:00-06:00,2020-01-23 00:00:00-06:00
4,9zxumj9x1fbt,42.966,-90.1297,2020-01-24 00:00:00-06:00,1.0,32.24,0.97,423.2,0.86,0.007,0.74,1019.6,1,0.08,62,19.54,10.32,29.31,2020-01-24 12:02:00-06:00,11.23,2020-01-25 07:55:00-06:00,29.31,2020-01-24 12:02:00-06:00,23.21,2020-01-24 17:04:00-06:00,0.01,0.016,2020-01-24 21:01:00-06:00,2020-01-24 07:24:00-06:00,2020-01-24 17:03:00-06:00,37.75,2020-01-24 12:02:00-06:00,21.32,2020-01-25 07:58:00-06:00,37.75,2020-01-24 12:02:00-06:00,30.07,2020-01-24 00:20:00-06:00,2020-01-24 10:59:00-06:00
