,geohash,latitude,longitude,time,icon,precipType,summary
3,c22y88meqxtf,47.5508,-122.6655,2020-01-23 00:00:00-08:00,rain,rain,Rain throughout the day.
4,c22y88meqxtf,47.5508,-122.6655,2020-01-24 00:00:00-08:00,rain,rain,Light rain throughout the day.
5,c22y88meqxtf,47.5508,-122.6655,2020-01-25 00:00:00-08:00,rain,rain,Light rain in the morning and afternoon.
6,c22y88meqxtf,47.5508,-122.6655,2020-01-26 00:00:00-08:00,rain,rain,Possible light rain in the evening and overnight.
7,c22y88meqxtf,47.5508,-122.6655,2020-01-27 00:00:00-08:00,rain,rain,Light rain throughout the day.
0,c2e52r55m8jv,48.4228,-119.5159,2020-01-20 00:00:00-08:00,partly-cloudy-day,snow,Mostly cloudy throughout the day.
1,c2e52r55m8jv,48.4228,-119.5159,2020-01-21 00:00:00-08:00,snow,snow,Possible light snow in the morning and afternoon.
2,c2e52r55m8jv,48.4228,-119.5159,2020-01-22 00:00:00-08:00,rain,rain,Possible light rain in the evening and overnight.
3,c2e52r55m8jv,48.4228,-119.5159,2020-01-23 00:00:00-08:00,rain,rain,Light rain throughout the day.
4,c2e52r55m8jv,48.4228,-119.5159,2020-01-24 00:00:00-08:00,rain,rain,Possible light rain in the morning and overnight.
5,c2e52r55m8jv,48.4228,-119.5159,2020-01-25 00:00:00-08:00,rain,rain,Light rain until evening.
6,c2e52r55m8jv,48.4228,-119.5159,2020-01-26 00:00:00-08:00,fog,rain,Foggy starting in the afternoon.
7,c2e52r55m8jv,48.4228,-119.5159,2020-01-27 00:00:00-08:00,snow,snow,Possible light snow in the evening and overnight.
0,c2kgbs1rt1yk,47.0887,-117.0464,2020-01-20 00:00:00-08:00,partly-cloudy-day,rain,Mostly cloudy throughout the day.
1,c2kgbs1rt1yk,47.0887,-117.0464,2020-01-21 00:00:00-08:00,rain,rain,Light rain throughout the day.
2,c2kgbs1rt1yk,47.0887,-117.0464,2020-01-22 00:00:00-08:00,snow,snow,Possible light rain in the evening and overnight.
3,c2kgbs1rt1yk,47.0887,-117.0464,2020-01-23 00:00:00-08:00,rain,rain,Light rain throughout the day.
4,c2kgbs1rt1yk,47.0887,-117.0464,2020-01-24 00:00:00-08:00,rain,rain,Possible light rain in the morning and afternoon.
5,c2kgbs1rt1yk,47.0887,-117.0464,2020-01-25 00:00:00-08:00,rain,rain,Light rain throughout the day.
6,c2kgbs1rt1yk,47.0887,-117.0464,2020-01-26 00:00:00-08:00,rain,rain,Possible light rain in the morning.
7,c2kgbs1rt1yk,47.0887,-117.0464,2020-01-27 00:00:00-08:00,snow,snow,Possible light rain overnight.
0,c23hr37xxuv3,47.1615,-122.02,2020-01-20 00:00:00-08:00,partly-cloudy-day,rain,Mostly cloudy throughout the day.
1,c23hr37xxuv3,47.1615,-122.02,2020-01-21 00:00:00-08:00,rain,rain,Rain throughout the day.
2,c23hr37xxuv3,47.1615,-122.02,2020-01-22 00:00:00-08:00,rain,rain,Light rain throughout the day.
3,c23hr37xxuv3,47.1615,-122.02,2020-01-23 00:00:00-08:00,rain,rain,Light rain throughout the day.
4,c23hr37xxuv3,47.1615,-122.02,2020-01-24 00:00:00-08:00,rain,rain,Light rain throughout the day.
5,c23hr37xxuv3,47.1615,-122.02,2020-01-25 00:00:00-08:00,rain,rain,Light rain until evening.
6,c23hr37xxuv3,47.1615,-122.02,2020-01-26 00:00:00-08:00,rain,rain,Possible light rain in the evening and overnight.
7,c23hr37xxuv3,47.1615,-122.02,2020-01-27 00:00:00-08:00,rain,rain,Light rain throughout the day.
0,c290jrm308s3,47.8525,-122.1058,2020-01-20 00:00:00-08:00,rain,rain,Possible drizzle overnight.
1,c290jrm308s3,47.8525,-122.1058,2020-01-21 00:00:00-08:00,rain,rain,Light rain throughout the day.
2,c290jrm308s3,47.8525,-122.1058,2020-01-22 00:00:00-08:00,rain,rain,Light rain throughout the day.
3,c290jrm308s3,47.8525,-122.1058,2020-01-23 00:00:00-08:00,rain,rain,Light rain throughout the day.
4,c290jrm308s3,47.8525,-122.1058,2020-01-24 00:00:00-08:00,rain,rain,Light rain throughout the day.
5,c290jrm308s3,47.8525,-122.1058,2020-01-25 00:00:00-08:00,rain,rain,Light rain throughout the day.
6,c290jrm308s3,47.8525,-122.1058,2020-01-26 00:00:00-08:00,rain,rain,Possible light rain in the morning and overnight.
7,c290jrm308s3,47.8525,-122.1058,2020-01-27 00:00:00-08:00,rain,rain,Light rain throughout the day.
0,c22z95pew1zm,47.7417,-122.6408,2020-01-20 00:00:00-08:00,rain,rain,"Light rain until morning, starting again in the evening."
1,c22z95pew1zm,47.7417,-122.6408,2020-01-21 00:00:00-08:00,rain,rain,Light rain throughout the day.
2,c22z95pew1zm,47.7417,-122.6408,2020-01-22 00:00:00-08:00,rain,rain,Light rain throughout the day.
3,c22z95pew1zm,47.7417,-122.6408,2020-01-23 00:00:00-08:00,rain,rain,Rain throughout the day.
4,c22z95pew1zm,47.7417,-122.6408,2020-01-24 00:00:00-08:00,rain,rain,Light rain throughout the day.
5,c22z95pew1zm,47.7417,-122.6408,2020-01-25 00:00:00-08:00,rain,rain,Light rain in the morning and afternoon.
6,c22z95pew1zm,47.7417,-122.6408,2020-01-26 00:00:00-08:00,rain,rain,Possible light rain overnight.
7,c22z95pew1zm,47.7417,-122.6408,2020-01-27 00:00:00-08:00,rain,rain,Light rain throughout the day.
0,c28gcdbjut11,48.4878,-122.6292,2020-01-20 00:00:00-08:00,rain,rain,Possible drizzle in the morning and afternoon.
1,c28gcdbjut11,48.4878,-122.6292,2020-01-21 00:00:00-08:00,rain,rain,Light rain throughout the day.
2,c28gcdbjut11,48.4878,-122.6292,2020-01-22 00:00:00-08:00,rain,rain,Light rain throughout the day.
3,c28gcdbjut11,48.4878,-122.6292,2020-01-23 00:00:00-08:00,rain,rain,Light rain throughout the day.
4,c28gcdbjut11,48.4878,-122.6292,2020-01-24 00:00:00-08:00,rain,rain,Light rain throughout the day.
5,c28gcdbjut11,48.4878,-122.6292,2020-01-25 00:00:00-08:00,rain,rain,Light rain until evening.
6,c28gcdbjut11,48.4878,-122.6292,2020-01-26 00:00:00-08:00,rain,rain,Possible light rain overnight.
7,c28gcdbjut11,48.4878,-122.6292,2020-01-27 00:00:00-08:00,rain,rain,"Light rain until afternoon, starting again overnight."
0,c22v6zsncxeu,47.3715,-122.5689,2020-01-20 00:00:00-08:00,rain,rain,"Possible light rain until morning, starting again in the evening."
1,c22v6zsncxeu,47.3715,-122.5689,2020-01-21 00:00:00-08:00,rain,rain,Light rain throughout the day.
2,c22v6zsncxeu,47.3715,-122.5689,2020-01-22 00:00:00-08:00,rain,rain,Light rain throughout the day.
3,c22v6zsncxeu,47.3715,-122.5689,2020-01-23 00:00:00-08:00,rain,rain,Light rain throughout the day.
4,c22v6zsncxeu,47.3715,-122.5689,2020-01-24 00:00:00-08:00,rain,rain,Light rain throughout the day.
5,c22v6zsncxeu,47.3715,-122.5689,2020-01-25 00:00:00-08:00,rain,rain,Light rain until evening.
6,c22v6zsncxeu,47.3715,-122.5689,2020-01-26 00:00:00-08:00,rain,rain,Possible light rain in the evening and overnight.
7,c22v6zsncxeu,47.3715,-122.5689,2020-01-27 00:00:00-08:00,rain,rain,Light rain throughout the day.
0,c27xxn277b4d,47.7595,-118.52,2020-01-20 00:00:00-08:00,cloudy,rain,Overcast throughout the day.
1,c27xxn277b4d,47.7595,-118.52,2020-01-21 00:00:00-08:00,snow,snow,Possible light snow in the morning and afternoon.
2,c27xxn277b4d,47.7595,-118.52,2020-01-22 00:00:00-08:00,snow,snow,Possible light rain in the evening and overnight.
3,c27xxn277b4d,47.7595,-118.52,2020-01-23 00:00:00-08:00,rain,rain,Light rain throughout the day.
4,c27xxn277b4d,47.7595,-118.52,2020-01-24 00:00:00-08:00,rain,rain,Possible light snow in the morning.
5,c27xxn277b4d,47.7595,-118.52,2020-01-25 00:00:00-08:00,rain,rain,Light rain in the morning and afternoon.
6,c27xxn277b4d,47.7595,-118.52,2020-01-26 00:00:00-08:00,fog,rain,Foggy in the evening and overnight.
7,c27xxn277b4d,47.7595,-118.52,2020-01-27 00:00:00-08:00,snow,snow,Foggy in the afternoon.
0,c2ktywhpbg7y,47.4513,-117.1307,2020-01-20 00:00:00-08:00,cloudy,rain,Overcast throughout the day.
1,c2ktywhpbg7y,47.4513,-117.1307,2020-01-21 00:00:00-08:00,rain,rain,Light rain in the morning and afternoon.
2,c2ktywhpbg7y,47.4513,-117.1307,2020-01-22 00:00:00-08:00,snow,snow,Possible light rain in the evening and overnight.
3,c2ktywhpbg7y,47.4513,-117.1307,2020-01-23 00:00:00-08:00,rain,rain,Light rain throughout the day.
4,c2ktywhpbg7y,47.4513,-117.1307,2020-01-24 00:00:00-08:00,rain,rain,Light rain in the morning.
